TCOE_SHAKEOUT

Release,ENVIRONMENT,TC_NAME,PRODUCT_TYPE,ORDERID,CUSTOMER_ID,BILLING_ACC_NUM,SERVICE_ID,TC_START_TIME,ORDER_SUBMITTED_TIME,ORDER_STATUS,ORDER_COMPLETED_TIME,OPERATION,SLAVE,DATAUSAGE,E2ESUBSTATUS,MASTERID,ORDERSUBTIMEFLAG,ORDERUPLOADFLAG,E2EBUNDLECHECK,FORCEFINISH_STARTTIME,FORCEFINISH_ENDTIME,FORCEFINISHFLAG,FOXTEL_JOB,AXIS_JOB,BRIGHTSTAR_JOB,OMFUL_TCD_JOB,OMFUL_MNA_JOB,OMFUL_MWA_JOB,OMFUL_MAJ_JOB,AUTOCAT_JOB,
1611,INT1,[1]SOC_506_CRM_ADD BUNDLE NBN PIK_MOC_PPS_Shakeout,NBN PIK,1-320103047175,2021865577,null,0756628074,30/03/2017 07:08:25 AM,null,Pending,null,Connect,TCoE_AuT_VM15_Slave01,ShakeOut,NA,SHK_003_PPS,No,No,No,null,null,No,No,No,No,No,No,Yes,Yes,Yes,
1611,INT1,[1]SOC_416_CRM_ADD NEW CABLE PIK INTERNET SERVICE_MOC_PPS_Shakeout,Cable,Order to be generated,2021865575,null,null,30/03/2017 07:10:33 AM,null,Pending,null,Connect,TCoE_AuT_VM15_Slave04,ShakeOut,NA,SHK_005_PPS,No,No,No,null,null,No,No,No,No,No,No,Yes,No,No,
1611,INT1,[1]SOC_416_CRM_ADD NEW CABLE PIK INTERNET SERVICE_MOC_PPS_Shakeout,Cable,Order to be generated,2021865579,null,null,30/03/2017 12:40:59 AM,null,Pending,null,Connect,TCoE_AuT_VM15_Slave04,ShakeOut,NA,SHK_005_PPS,No,No,No,null,null,No,No,No,No,No,No,Yes,No,No,
1611,INT1,CAT03_C03.00_11_TC_PSTN_ADSL with dispatch(SIK)_PPS_Shakeout,PSTN+ADSL SIK,1-320101666857,2021865573,null,0354706396,30/03/2017 07:12:34 AM,null,Pending,null,Connect,TCoE_AuT_VM15_Slave03,ShakeOut,NA,SHK_006_PPS,No,No,Yes,null,null,No,No,Yes,Yes,Yes,No,No,No,No,
1611,INT1,[1]SOC_601_CRM_Add New FOXTEL_OUI,FOXTEL,Order to be generated,2021865571,null,null,30/03/2017 07:15:23 AM,null,Pending,null,Connect,TCoE_AuT_VM15_Slave02,ShakeOut,NA,SHK_010_PPS,No,No,No,null,null,No,Yes,No,No,No,No,No,No,No,


PPS,INT2,[1]SOC_416_CRM_ADD NEW CABLE PIK INTERNET SERVICE_MOC_PPS_Shakeout,Cable,1-321340378661,2829946046,null,null,30/03/2017 07:12:10 AM,30/03/2017 07:21:46 AM,Provisioning,null,Connect,TCoE_AuT_VM14_Slave03,ShakeOut,OMMWADone,SHK_005_PPS,No,No,No,30/03/2017 09:23:01,null,InUse,No,No,No,No,No,Yes,No,No,
PPS,INT2,[1]SOC_506_CRM_ADD BUNDLE NBN PIK_MOC_PPS_Shakeout,NBN PIK,1-321340164405,2830106354,null,0395078279,30/03/2017 07:04:25 AM,30/03/2017 07:26:41 AM,Provisioning,null,Connect,TCoE_AuT_VM14_Slave04,ShakeOut,OMMAJDone,SHK_003_PPS,No,No,No,30/03/2017 08:43:14,30/03/2017 09:05:16,Yes,No,No,No,No,No,Yes,Yes,Yes,
PPS,INT2,[1]SOC_601_CRM_Add New FOXTEL SIK_PPS_Shakeout,FOXTEL,1-321340277341,2830026200,null,null,30/03/2017 07:07:10 AM,30/03/2017 07:14:35 AM,Provisioning,null,Connect,TCoE_AuT_VM14_Slave05,ShakeOut,NA,SHK_009_PPS,No,No,No,null,null,No,Yes,No,No,No,No,No,No,No,
PPS,INT2,CAT01_C01_01_MAXIM_E2E_Connect_DOT Bundle_PIK_Class2_ShakeOut,NBN DOT,2-3938170846,5897042268,null,0395078258/ 0395003081,30/03/2017 7:01:31 AM,null,In Progress,null,In Progress,7,ShakeOut,NA,SHK_008,No,No,No,null,null,No,No,No,Yes,No,No,Yes,Yes,Yes,
PPS,INT2,CAT03_C03.00_11_TC_PSTN_ADSL with dispatch(SIK)_PPS_Shakeout,PSTN+ADSL SIK,1-321340256825,2830186508,null,0398821939,30/03/2017 07:04:14 AM,null,Pending,null,Connect,TCoE_AuT_VM15_Slave05,ShakeOut,NA,SHK_006_PPS,No,No,Yes,null,null,No,No,Yes,Yes,Yes,No,No,No,No,




No shakeout for OSIT3
